Words,Frequency
no,19
baby,17
remix,15
do,12
dice,12
fue,12
tú,11
pero,11
go,10
dile,10
dont,10
duro,10
papi,9
daddy,9
cómo,9
sigue,9
ya,9
bebé,9
sube,9
más,9
you,9
life,9
va,8
ozuna,8
lento,8
farru,8
bien,8
na,8
loca,8
botella,8
fuego,8
ve,8
quiere,8
dime,8
conmigo,8
one,8
verte,7
die,7
tiempo,7
sabe,7
brr,7
mira,7
contigo,7
okay,7
say,7
melo,7
claro,7
maluma,7
up,7
amiga,7
like,7
solo,7
auh,7
ajá,7
ma,7
sé,7
vuelve,6
toda,6
vuelta,6
novio,6
yatra,6
lindo,6
day,6
conoce,6
quién,6
el,6
quiero,6
ahora,6
oye,6
cabrón,6
tiene,6
otra,6
ja,6
sech,6
on,6
bunny,6
cosa,6
nadie,6
towers,6
mal,6
sí,6
buena,6
llora,6
sola,6
baila,6
flow,6
why,6
girl,6
nunca,6
amor,6
día,6
love,6
mami,6
parte,6
hora,6
diablo,6
know,6
rojo,6
chi,6
come,6
mama,6
i,6
now,6
night,6
high,6
hola,5
fuck,5
una,5
true,5
hay,5
nota,5
head,5
mío,5
mágico,5
everybody,5
scott,5
here,5
messiah,5
suelte,5
gang,5
dababy,5
sepa,5
skrrt,5
this,5
eheheh,5
more,5
nanana,5
diga,5
solté,5
that,5
cazzu,5
movie,5
game,5
dos,5
dy,5
down,5
drake,5
prada,5
pon,5
name,5
da,5
hacer,5
hace,5
habla,5
ha,5
moja,5
en,5
dale,5
time,5
dalex,5
gusta,5
noche,5
todo,5
siga,5
grande,5
ni,5
muévelo,5
bad,5
woah,5
believe,5
mano,5
pare,5
real,5
llama,5
quieres,5
yeahyeah,5
mala,5
lipa,5
borracho,5
amar,5
amarillo,5
over,5
jajaja,5
yankee,5
jajajaja,5
jam,5
relación,5
vivo,5
out,5
yandel,5
aquí,5
anuel,5
beso,5
malo,5
rose,5
papá,5
rosalía,5
bieber,5
quiera,5
le,5
road,5
zion,5
mamacita,5
vamos,5
perreo,5
vaya,5
what,5
camilo,5
baile,5
cambie,5
año,5
be,5
leggo,5
calma,5
lady,5
okey,5
young,5
yes,5
ven,5
venga,5
mamá,5
ayy,5
man,5
back,5
muchacho,4
ley,4
garcía,4
gana,4
malone,4
sol,4
santa,4
fácil,4
mueve,4
star,4
mujer,4
stallion,4
floor,4
lunay,4
fonsi,4
raye,4
look,4
mai,4
forever,4
soy,4
soul,4
