Words,Frequency
,13
1,4
2,9
3,5
4,4
5,5
7,4
a,5
aa,4
again,4
ah,16
ahah,5
ahora,6
ahí,7
ajá,7
alejandro,4
algo,4
all,4
altura,4
am,4
amar,5
amarillo,5
amiga,7
amo,4
amor,6
anda,4
ante,4
anuel,5
aquí,5
arrebatao,4
ass,4
así,11
auh,7
away,4
ay,12
ayy,5
azul,4
año,5
b,5
baby,17
back,5
bad,5
bag,4
baila,6
bailar,4
baile,5
bailemos,4
balvin,4
be,5
beabadoobee,4
bebecita,4
bebé,9
becky,4
believe,5
bella,4
bellaca,4
beso,5
besos,4
bieber,5
bien,8
bitch,4
black,4
blep,4
blunt,4
boca,4
borracho,5
botella,8
boté,4
bridge,4
brown,4
brr,7
buena,6
bunny,6
ca,4
cabrón,6
call,4
calle,4
calma,5
calor,4
cama,4
cambie,5
camilo,5
canción,4
cash,4
cat,4
cazzu,5
chi,6
chica,4
city,4
claro,7
come,6
con,4
conmigo,8
conoce,6
contigo,7
control,4
conviene,4
coro,4
cortez,4
cosa,6
crazy,4
cree,4
cuenta,4
cuerpo,4
culo,4
culpa,4
cyrus,4
cómo,9
da,5
dababy,5
daddy,9
dale,5
dalex,5
damn,4
dando,4
darell,4
day,6
de,6
deja,4
diablo,6
dice,12
dick,4
die,7
difícil,4
diga,5
dile,10
dime,8
diosa,4
do,12
dont,10
dos,5
down,5
drake,5
duro,10
dy,5
día,6
dímelo,4
e,8
easy,4
eh,11
eheh,6
eheheh,5
el,6
ella,12
em,4
en,5
end,4
esa,4
ese,4
eso,8
esta,4
esto,5
estoy,4
está,8
estás,6
everybody,5
ey,11
eye,4
face,4
farru,8
farruko,4
favor,4
favorito,4
floor,4
flow,6
fonsi,4
for,5
forever,4
freestyle,4
frente,4
from,4
fuck,5
fue,12
fuego,8
fuentes,4
fuera,4
fácil,4
g,8
game,5
gana,4
gang,5
garcía,4
get,4
girl,6
go,10
god,4
gomez,4
goza,4
grande,5
grandota,4
guaynaa,4
gucci,4
gusta,5
ha,5
habla,5
hace,5
hacer,5
hasta,4
hay,5
head,5
heart,4
her,4
here,5
hey,6
hiciste,4
high,6
hizo,4
hmm,6
hola,5
home,4
hoodie,4
hora,6
hot,4
huele,4
huh,8
i,6
ice,4
im,4
in,4
ir,4
it,7
its,4
ja,6
jaja,8
jajaja,5
jajajaja,5
jam,5
jangueo,4
je,4
jeje,6
juan,4
juqueao,4
just,4
kid,4
know,6
la,15
lady,5
le,5
leggo,5
lento,8
ley,4
life,9
like,7
linda,4
lindo,6
lipa,5
llama,5
llora,6
lo,6
loca,8
loco,4
look,4
los,5
love,6
lunay,4
lyan,4
ma,7
mai,4
mal,6
mala,5
malo,5
malone,4
maluma,7
mama,6
mamacita,5
mami,6
mamá,5
man,5
mano,5
mars,4
mañana,4
me,15
mejor,4
melo,7
mentira,4
mera,4
messiah,5
mi,4
mil,4
minaj,4
mira,7
mmm,4
moja,5
money,4
more,5
movie,5
muchacho,4
mueve,4
mujer,4
muévelo,5
mágico,5
más,9
mí,8
mía,4
mío,5
na,8
nada,4
nadie,6
nah,9
nalga,4
name,5
nanana,5
necesita,4
never,4
next,4
ni,5
night,6
ninguna,4
niña,4
no,19
noche,5
nombre,4
nono,5
noriel,4
normal,4
nosotro,4
nota,5
novia,4
novio,6
now,6
nuevo,4
nunca,6
o,6
oasis,4
of,4
oh,13
ohoh,8
ohohoh,6
ohwoh,4
okay,7
okey,5
olvidar,4
on,6
one,8
only,4
ooh,4
otra,6
otro,4
out,5
outro,4
over,5
oye,6
ozuna,8
pa,8
pain,4
pal,4
papi,9
papá,5
para,4
pare,5
pared,4
parte,6
pasa,4
pasó,4
paul,4
pena,4
pendejo,4
pero,11
perreo,5
piel,4
pijama,4
play,4
pon,5
ponle,4
por,4
porque,4
prada,5
prr,9
puede,4
pues,7
quavo,4
que,10
quería,4
quiera,5
quiere,8
quieres,5
quiero,6
quién,6
qué,21
rain,4
rarauw,4
raye,4
ready,4
real,5
relación,5
remix,15
ricky,4
rico,4
right,4
ring,4
road,5
rojo,6
rosalía,5
rosas,4
rose,5
rra,4
run,4
sabe,7
sabes,4
sad,4
safe,4
said,4
santa,4
savage,4
say,7
scott,5
sea,4
sech,6
secreto,4
sepa,5
shake,4
shot,4
si,4
siempre,4
siga,5
sigue,9
sin,4
skrrt,5
so,9
sol,4
sola,6
solo,7
solté,5
something,4
song,4
sorry,4
soul,4
soy,4
stallion,4
star,4
still,4
sube,9
suelte,5
sup,6
sza,4
sé,7
sí,6
te,9
tell,4
teta,4
that,5
the,4
thing,4
this,5
thug,4
ti,7
tiempo,7
tiene,6
time,5
to,8
toa,6
toca,4
toda,6
todo,5
towers,6
tra,14
trago,4
true,5
tusa,4
tú,11
uah,8
uahuah,4
uh,8
uhuh,8
uhuhuh,4
uhyeh,4
un,4
una,5
uoh,4
uohoh,4
up,7
va,8
vamo,4
vamos,5
vaya,5
ve,8
vemo,4
ven,5
venga,5
ver,4
verso,4
verte,7
vete,4
vez,4
vivo,5
volví,4
voy,4
vuelta,6
vuelve,6
w,4
wait,4
way,4
west,4
what,5
whats,4
why,6
wisin,4
with,4
woah,5
woh,10
wohoh,6
woman,4
wont,4
woo,7
wooh,4
world,4
wow,4
wrong,4
wuh,13
y,5
ya,9
yah,9
yandel,5
yankee,5
yatra,6
yeah,11
yeaheh,4
yeahyeah,5
yeh,9
yeheh,4
yehyehyehyeh,6
yes,5
yo,17
you,9
young,5
z,4
zion,5
zumba,4
él,8
