Song,Artist,Song Lenght (ms),Popularity,Release date,Song Id,Acousticness,Danceability,Energy,Instrumentalness,Liveness,Speechiness,Tempo,Key,Loudness,Mode,Time Signature,Valence
Calma - Remix,Pedro Capó,238200,77,2018-10-05,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,0.773,0.773,0.773,0.0524,126.899,11,-4.218,0,4,0.761
Con Calma,Daddy Yankee,193226,83,2019-01-24,5w9c2J52mkdntKOmRLeM2m,0.11,0.737,0.86,0.86,0.86,0.0593,93.989,8,-2.652,0,4,0.656
Te Vi,Piso 21,231848,80,2018-12-14,059bcIhyc2SBwm6sw2AZzd,0.0446,0.877,0.777,0.777,0.777,0.117,102.02,1,-4.246,1,4,0.706
Otro Trago,Sech,225933,75,2019-04-19,1Ej96GIBCTvgH7tNX1r3qr,0.136,0.746,0.7,0.7,0.7,0.341,176.044,0,-4.669,1,4,0.619
Callaita,Bad Bunny,250533,80,2019-05-31,2TH65lNHgvLxCKXM3apjxI,0.6,0.61,0.624,0.624,0.624,0.309,176.169,2,-4.773,1,4,0.244
Desconocidos,Mau y Ricky,204453,65,2018-10-12,0s5DNDV6LAKn2u2Ufa3VjQ,0.146,0.709,0.771,0.771,0.771,0.166,174.006,7,-4.598,1,4,0.709
HP,Maluma,184435,75,2019-05-17,1LIqNVhaIgxXUt2eVoIQJ3,0.252,0.837,0.791,0.791,0.791,0.0773,91.98,4,-3.157,0,4,0.618
Secreto,Anuel AA,258799,79,2019-01-15,5W83ErFkO3aKAIS1WMi6u0,0.602,0.807,0.803,0.803,0.803,0.126,91.987,11,-4.156,1,4,0.706
LA CANCIÓN,J Balvin,242573,89,2019-06-28,0fea68AdmYNygeTGI4RC18,0.152,0.754,0.646,0.646,0.646,0.317,176.089,7,-5.795,1,4,0.429
Adan y Eva,Paulo Londra,258638,72,2018-11-05,6FyRXC8tJUh863JCkyWqtk,0.323,0.767,0.709,0.709,0.709,0.336,171.993,1,-4.47,1,4,0.72
11 PM,Maluma,175733,79,2019-05-17,7KbF6AdprOXEEHlsq11Z6d,0.217,0.777,0.712,0.712,0.712,0.277,95.692,10,-4.84,1,4,0.68
Soltera (Remix),Lunay,266086,74,2019-05-10,1c0hsvHLELX6y8qymnpLKL,0.361,0.795,0.783,0.783,0.783,0.0432,92.01,5,-4.271,1,4,0.799
Con Altura,ROSALÍA,161626,78,2019-03-28,2qG5sZ7Si6sdK74qLxedYM,0.39,0.882,0.689,0.689,0.689,0.124,97.963,6,-4.027,1,4,0.746
Tal Vez,Paulo Londra,264483,65,2019-04-03,46lvmzK8wxAy66tjzXXSh0,0.266,0.849,0.655,0.655,0.655,0.106,161.966,8,-2.899,1,4,0.76
China,Anuel AA,301714,78,2019-07-19,2ksOAxtIxY8yElEWw8RhgK,0.0846,0.786,0.808,0.808,0.808,0.0882,105.027,7,-3.702,1,4,0.609
No Me Conoce - Remix,Jhayco,309120,86,2019-05-24,2beS6dD5rovBxSA1zYoSHR,0.14,0.804,0.787,0.787,0.787,0.0746,91.974,10,-3.824,0,4,0.562
Pa Mí - Remix,Dalex,360960,77,2019-05-10,7g8YaUQABMal0zWe7a2ijz,0.753,0.688,0.62,0.62,0.62,0.22,170.011,11,-8.029,0,4,0.727
Ella Quiere Beber - Remix,Anuel AA,219357,81,2018-11-02,3f5lA8nnc4YYF1qf78WpHw,0.265,0.75,0.665,0.665,0.665,0.124,95.239,8,-3.083,1,4,0.697
Un Año,Sebastian Yatra,164440,69,2019-01-18,5BDP2tky8oMQJPS33frKVp,0.148,0.771,0.382,0.382,0.382,0.0514,94.931,1,-6.808,0,4,0.535
MIA,Bad Bunny,210367,82,2018-12-23,3gE4eQH3K83Sght0ZLvuBK,0.0142,0.816,0.538,0.538,0.538,0.0617,97.054,6,-6.354,0,4,0.156
Dancin (feat. Luvli) - Krono Remix,Aaron Smith,198053,81,2014-11-07,6WkJ2OK163XXS2oARUC9JM,0.101,0.72,0.741,0.741,0.741,0.0287,119.896,10,-6.529,0,4,0.357
Sunflower - Spider-Man: Into the Spider-Verse,Post Malone,158040,91,2018-12-14,3KkXRkHbMCARz0aVfEt68P,0.556,0.76,0.479,0.479,0.479,0.0466,89.911,2,-5.574,1,4,0.913
7 rings,Ariana Grande,178626,87,2019-02-08,6ocbgoVGwYJhOv1GgI9NsF,0.592,0.778,0.317,0.317,0.317,0.334,140.048,1,-10.732,0,4,0.327
Señorita,Shawn Mendes,190960,82,2019-06-21,0TK2YIli7K1leLovkQiNik,0.037,0.759,0.54,0.54,0.54,0.0287,116.947,9,-6.039,0,4,0.75
bad guy,Billie Eilish,194087,86,2019-03-29,2Fxmhks0bxGSBdJ92vM42m,0.328,0.701,0.425,0.425,0.425,0.375,135.128,7,-10.965,1,4,0.562
Baby Girl (feat. Lalo Ebratt),Mario Bautista,218469,67,2018-08-17,6o8ogTrSX8H0F66Pdz3Tsc,0.0275,0.804,0.705,0.705,0.705,0.199,103.009,1,-5.272,1,4,0.45
No Te Contaron Mal,Christian Nodal,156520,75,2019-05-10,7hbk4BaF66O09R1gq0bKwj,0.369,0.644,0.568,0.568,0.568,0.038,81.409,9,-3.077,0,4,0.654
Verte Ir,DJ Luian,267500,75,2019-03-28,4lzxJ4jCuFDXXGkE1LmpKR,0.391,0.857,0.647,0.647,0.647,0.0984,95.982,11,-4.152,0,4,0.553
Baila Baila Baila,Ozuna,158760,76,2019-11-29,5PXsZaT8cOxb4mXrA20PMQ,0.0588,0.837,0.626,0.626,0.626,0.152,99.987,11,-5.674,0,4,0.592
Te Robaré,Nicky Jam,201818,73,2019-11-01,4PJ3umtW1aWdfh5EITHc6T,0.241,0.673,0.752,0.752,0.752,0.0561,175.997,2,-3.572,0,4,0.797
Sola,Manuel Turizo,195044,67,2019-08-23,0KHhNlHN5lWn7q332PiPys,0.483,0.704,0.706,0.706,0.706,0.111,92.965,11,-5.233,0,4,0.856
"Taki Taki (feat. Selena Gomez, Ozuna & Cardi B)",DJ Snake,212500,76,2019-07-25,0KoiMHhqKLoL4xM54rcWYY,0.157,0.842,0.801,0.801,0.801,0.228,95.881,8,-4.167,0,4,0.617
QUE PRETENDES,J Balvin,222346,82,2019-06-28,25ZAibhr3bdlMCLmubZDVt,0.0275,0.639,0.791,0.791,0.791,0.253,92.603,10,-4.443,0,4,0.939
Fuentes de Ortiz,Ed Maverick,207400,81,2018-03-02,0akyEssGRVHstqCSWXusJL,0.946,0.83,0.159,0.159,0.159,0.0383,104.95,1,-14.461,1,4,0.189
Rebota,Guaynaa,204630,68,2018-12-14,4THusowxdHxwt0HBh5pyRx,0.188,0.816,0.911,0.911,0.911,0.255,89.686,1,-2.002,1,4,0.931
Ni Gucci Ni Prada,Kenny Man,175200,62,2018-09-14,32lexhcz93AinKK0qLTZaZ,0.41,0.799,0.676,0.676,0.676,0.169,104.956,2,-5.644,1,4,0.91
