,Words
0,que
1,te
2,no
3,tú
4,mejor?
5,ves
6,por
7,seas
8,merece
9,la
10,llorar
11,a
12,en
13,él
14,el
15,de
16,tampoco
17,conmigo
18,¿que
19,entender
20,carro
21,dior
22,cuarto
23,huele
24,christian
25,¿cómo
26,eres
27,muy
28,bonita
29,pa'
30,fiel
31,ni
32,tu
33,hacerte
34,mi
35,"mañana,"
36,oh-oh-oh
37,"piel,"
38,todavía
39,una
40,(no
41,él)
42,(pa'
43,dice
44,[coro]
45,[pre-coro]
46,"noche,"
47,once
48,bebé
49,propuesta
50,"pie-e-el,"
51,"no,"
52,va
53,fiel)
54,contesta
55,'e
56,hay
57,tengo
58,yo
59,tres
60,"(no-no,"
61,(baby)
62,dispuesta
63,dejes
64,lo
65,me
66,dos
67,eh)
68,no-no)
69,respuesta
70,está
71,like[coro]
72,also
73,might
74,you
75,"maluma,"
76,"(yeh,"
77,"yeh,"
78,yeh)
79,"(oh,"
80,"ba-ba-ba-,"
81,baby
82,[outro]
83,no-oh)
84,mujer)
85,(no-no)
86,"fiel,"
87,(¡dime)
88,apague
89,8
90,yeah
91,"apague,"
92,pm
93,lyrics[letra
94,"""11"
95,"pm""]"
96,"(eh,"
97,'tá
98,"(eh-eh,"
99,(dime)
100,contributors11
101,(uh-ah)
102,[verso]
103,"extrañarte,"
104,pensarte
105,ocupado
106,cosas
107,más
108,importantes
109,nube
110,deja
111,ver
112,sol
113,brillante
114,(uh)
115,ba-ba-baby4embed
116,y
117,voy
118,rauw
119,alejandro]
120,hoy
121,tus
122,nos
123,va'
124,"baby,"
125,chingar
126,ya
127,hacer
128,soy
129,vamo'
130,to'a
131,cómo
132,miran
133,dueño
134,[pre-coro:
135,estamo'
136,solos
137,las
138,nadie
139,ojos
140,molesta
141,bellaquera
142,solo
143,revienta
144,yeah-yeah
145,siempre
146,qué
147,(ih-ih)
148,parte'
149,puede
150,nunca
151,pueda'
152,olvidarme
153,"ey,"
154,chingar)
155,matar
156,hasta
157,"quitarme,"
158,(¡yah)
159,"yeah,"
160,hice
161,gritarme
162,amar
163,oído
164,entendiste
165,ra-rauw
166,[refrán:
167,rico
168,al
169,desnudarte
170,mucho
171,calentarte
172,miré
173,tener
174,cuando
175,se
176,[coro:
177,aguantar
178,pueden
179,pero
180,gana'
181,"insisten,"
182,retorno
183,[outro:
184,"saberse,"
185,ajá
186,eh-yeah
187,(¡wuh)
188,vas
189,"(baby,"
190,instrumental]
191,[puente
192,"dice,"
193,espero
194,(yih)
195,porno
196,sacamo'
197,si
198,viral
199,venga'
200,7
201,alejandro
202,quién
203,fuckin'
204,los
205,con
206,entertainment
207,duars
208,oh-oh
209,ey
210,matar)
211,(tú
212,ere'
213,sabe'
214,(me
215,ti
216,canción
217,esta
218,(hoy
219,2/14
220,e'
221,parte')
222,(y
223,omi
224,amar)
225,divina
226,"nosotro',"
227,esa
228,(uh-uh)
229,cocina
230,quedamo'
231,pa'l
232,íbamo'
233,contributorstranslationsenglish2/catorce
234,queda
235,lencería
236,like[verso]
237,cuenta
238,"venga',"
239,(yeah)
240,yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah-yeah
241,[intro:
242,"""2/catorce""]"
243,perdí
244,venía'
245,ey)
246,cada
247,"(ey,"
248,verte
249,quiero
250,fuerte
251,má'
252,es
253,siento
254,pasa
255,día
256,(mami)
257,ninguna
258,merecerte?
259,para
260,¿qué
261,(ey)
262,comerte
263,"suerte,"
264,piscina
265,primera
266,como
267,sensei2embed
268,i
269,"it,"
270,my
271,it
272,got
273,want
274,like
275,the
276,bought
277,is
278,be
279,just
280,see
281,to
282,and
283,all
284,hair?
285,"gee,"
286,of
287,ain't
288,"thanks,"
289,(oh
290,money
291,but
292,[chorus]
293,yeah)
294,in
295,when
296,for
